year,O2_200_400m_mLL,Vn
2011,4.118771393034827,
2012,3.9467334825870646,0.14083699624627974
2013,4.014433532338309,0.2891295875011169
2014,3.3473867164179105,-0.22702953940110937
2015,2.547948407960199,-0.21774974033110128
2016,2.462357462686567,0.09357872572460331
2017,2.276772835820895,0.05681347201777089
2018,3.236115671641792,0.42002232492852737
2019,3.2741520617235786,0.18047114807454856
2020,3.096387480189603,0.08218730713412327
2021,4.1864294331521235,0.6262009081452605
2022,3.717032626307146,-0.09633927443635061
2023,3.4283178359936612,0.03788992564017204
2024,3.374781161794929,0.1516195816020219
2025,4.983127133614047,0.9682056248867011
2026,4.668671748857986,0.09121945146287232
